"loyalty_number","country","province","city","postal_code","gender","education","salary","marital_status","loyalty_card","clv","enrollment_type","enrollment_year","enrollment_month","cancellation_year","cancellation_month"
480934,"Canada","Ontario","Toronto","M2Z 4K1","Female","Bachelor",83236,"Married","Star",3839.14,"Standard",2016,2,0,0
530508,"Canada","Quebec","Hull","J8Y 3Z5","Male","Bachelor",103495,"Married","Star",3842.79,"Standard",2014,10,0,0
193662,"Canada","Yukon","Whitehorse","Y2K 6R0","Male","Bachelor",51124,"Married","Star",3844.57,"Standard",2012,5,0,0
188893,"Canada","Ontario","Trenton","K8V 4B2","Male","Bachelor",100159,"Married","Star",3861.49,"Standard",2016,12,0,0
852392,"Canada","Quebec","Montreal","H2Y 2W2","Female","Bachelor",100159,"Married","Star",3861.49,"Standard",2015,5,0,0
866307,"Canada","Ontario","Toronto","M8Y 4K8","Male","Bachelor",100159,"Married","Star",3861.49,"Standard",2016,10,0,0
932823,"Canada","British Columbia","Vancouver","V6E 3D9","Female","Bachelor",66444,"Married","Star",3863.31,"Standard",2015,3,0,0
144514,"Canada","British Columbia","Dawson Creek","U5I 4F1","Female","Bachelor",49618,"Married","Star",3864.78,"Standard",2016,6,0,0
611765,"Canada","Quebec","Quebec City","G1B 3L5","Male","Bachelor",90175,"Single","Star",3867.97,"Standard",2018,1,0,0
205785,"Canada","Ontario","Toronto","M2M 6J7","Male","Master",128118,"Married","Star",3873.65,"Standard",2016,8,0,0
735304,"Canada","Alberta","Edmonton","T3G 6Y6","Female","Master",128118,"Married","Star",3873.65,"Standard",2016,12,0,0
438936,"Canada","Quebec","Montreal","H2Y 2W2","Male","Bachelor",94092,"Married","Star",3878.77,"Standard",2013,10,0,0
109767,"Canada","Ontario","Toronto","M1R 4K3","Female","Bachelor",89062,"Single","Star",3886.65,"Standard",2016,5,0,0
217754,"Canada","Quebec","Montreal","H2Y 4R4","Female","Bachelor",102400,"Single","Star",3887.32,"Standard",2015,6,0,0
157005,"Canada","British Columbia","Vancouver","V5R 1W3","Male","Bachelor",98629,"Married","Star",3890.87,"Standard",2016,10,0,0
557752,"Canada","Ontario","Toronto","P1L 8X8","Female","Bachelor",98629,"Married","Star",3890.87,"Standard",2017,10,0,0
608758,"Canada","Ontario","Ottawa","K1F 2R2","Male","Bachelor",63795,"Married","Star",3890.96,"Standard",2013,7,0,0
599341,"Canada","Quebec","Tremblant","H5Y 2S9","Female","Bachelor",54890,"Married","Star",3891.54,"Standard",2015,11,0,0
340934,"Canada","Nova Scotia","Halifax","B3J 9S2","Male","Bachelor",47446,"Married","Star",4882.29,"Standard",2018,11,0,0
420439,"Canada","Ontario","Kingston","M9K 2P4","Male","Bachelor",84511,"Married","Aurora",9215.54,"Standard",2014,4,0,0
575145,"Canada","Ontario","Toronto","M2M 7K8","Male","Bachelor",85514,"Married","Aurora",9217.13,"Standard",2014,4,12,12
991638,"Canada","Ontario","Toronto","P1L 8X8","Male","Bachelor",51189,"Divorced","Aurora",9217.98,"Standard",2015,11,12,12
850828,"Canada","Ontario","Ottawa","K1F 2R2","Female","High School or Below",57678,"Single","Aurora",9223.99,"Standard",2016,12,0,0
950356,"Canada","Quebec","Montreal","H3T 8L4","Male","Bachelor",63079,"Married","Aurora",9233.19,"Standard",2014,12,0,0
401645,"Canada","Ontario","Ottawa","K1F 2R2","Male","High School or Below",43350,"Divorced","Aurora",9244.35,"Standard",2014,10,0,0
135554,"Canada","British Columbia","Vancouver","V6E 3D9","Male","Bachelor",94584,"Married","Aurora",9247.55,"Standard",2014,7,0,0
422204,"Canada","Quebec","Hull","J8Y 3Z5","Female","Bachelor",72744,"Married","Aurora",9267.92,"Standard",2013,7,0,0
663402,"Canada","British Columbia","Victoria","V10 6T5","Female","Bachelor",72744,"Married","Aurora",9267.92,"Standard",2017,11,0,0
908120,"Canada","New Brunswick","Fredericton","E3B 2H2","Male","High School or Below",76905,"Married","Aurora",9269.68,"Standard",2013,9,0,0
327285,"Canada","Ontario","Toronto","M1R 4K3","Female","Bachelor",84165,"Divorced","Aurora",9277.23,"Standard",2013,3,0,0
454073,"Canada","British Columbia","Whistler","V6T 1Y8","Male","Bachelor",103420,"Married","Aurora",9277.47,"Standard",2016,8,0,0
778865,"Canada","Quebec","Montreal","H2T 2J6","Female","Bachelor",81332,"Married","Aurora",9294.09,"Standard",2013,9,0,0
542636,"Canada","British Columbia","Whistler","V6T 1Y8","Female","Bachelor",87510,"Married","Aurora",9312.59,"Standard",2018,11,0,0
593651,"Canada","British Columbia","Vancouver","V5R 1W3","Female","Bachelor",47297,"Married","Aurora",9320.28,"Standard",2014,12,0,0
152007,"Canada","Alberta","Calgary","T3E 2V9","Female","Bachelor",83448,"Married","Aurora",9322.09,"Standard",2018,1,9,9
195684,"Canada","British Columbia","Whistler","V6T 1Y8","Male","Bachelor",74353,"Single","Aurora",9332.49,"Standard",2017,10,0,0
737477,"Canada","Quebec","Montreal","H2Y 4R4","Male","Bachelor",87799,"Married","Aurora",9337.9,"Standard",2016,7,0,0
975749,"Canada","Ontario","Toronto","M2M 7K8","Female","Bachelor",82721,"Married","Aurora",9339.34,"Standard",2015,9,0,0
201574,"Canada","Ontario","Ottawa","K1F 2R2","Female","Bachelor",51375,"Married","Star",3893.31,"Standard",2015,4,12,12
403361,"Canada","British Columbia","Vancouver","V1E 4R6","Male","Bachelor",70222,"Single","Star",3895.03,"Standard",2017,10,0,0
543918,"Canada","Quebec","Montreal","H2T 2J6","Male","High School or Below",40736,"Married","Star",3896.57,"Standard",2012,11,0,0
806030,"Canada","Alberta","Calgary","T3E 2V9","Female","Bachelor",75861,"Married","Star",3903.47,"Standard",2018,5,0,0
119200,"Canada","British Columbia","Vancouver","V6E 3D9","Female","Bachelor",69835,"Divorced","Star",3903.8,"Standard",2017,5,0,0
238119,"Canada","Quebec","Montreal","H2T 9K8","Male","Bachelor",75980,"Married","Star",3906.67,"Standard",2013,5,0,0
834891,"Canada","British Columbia","Vancouver","V5R 1W3","Female","Bachelor",54460,"Married","Star",3911.12,"Standard",2017,3,4,4
536567,"Canada","Alberta","Peace River","T9O 2W2","Male","Bachelor",80697,"Married","Star",3919.37,"Standard",2016,5,0,0
704835,"Canada","British Columbia","Whistler","V6T 1Y8","Male","Bachelor",80697,"Married","Star",3919.37,"Standard",2016,9,0,0
733338,"Canada","Ontario","Thunder Bay","K8T 5M5","Female","Bachelor",80697,"Married","Star",3919.37,"Standard",2016,6,2,2
758635,"Canada","Quebec","Montreal","H2T 9K8","Male","Bachelor",80697,"Married","Star",3919.37,"Standard",2018,6,0,0
823048,"Canada","British Columbia","Vancouver","V6E 3Z3","Male","Bachelor",80697,"Married","Star",3919.37,"Standard",2018,5,0,0
679908,"Canada","Quebec","Montreal","H4G 3T4","Female","Bachelor",77601,"Married","Star",3921.02,"Standard",2015,8,0,0
854835,"Canada","Ontario","Trenton","K8V 4B2","Male","Bachelor",76260,"Single","Aurora",9366.82,"Standard",2016,6,2,2
550575,"Canada","British Columbia","Vancouver","V6E 3D9","Female","Bachelor",104486,"Married","Aurora",9369.64,"Standard",2018,8,0,0
917983,"Canada","Ontario","Toronto","P1W 1K4","Female","Bachelor",104486,"Married","Aurora",9369.64,"Standard",2015,9,0,0
555947,"Canada","Ontario","Toronto","P1J 8T7","Male","Bachelor",80440,"Married","Aurora",9371.77,"Standard",2017,12,0,0
879177,"Canada","British Columbia","Vancouver","V5R 1W3","Female","Bachelor",80440,"Married","Aurora",9371.77,"Standard",2014,7,0,0
892000,"Canada","British Columbia","Vancouver","V6E 3D9","Male","Bachelor",69537,"Married","Aurora",9378.9,"Standard",2015,9,5,5
936010,"Canada","Ontario","Toronto","P5S 6R4","Female","Bachelor",69537,"Married","Aurora",9378.9,"Standard",2018,10,0,0
116332,"Canada","Ontario","Toronto","M2Z 4K1","Female","Bachelor",62706,"Married","Aurora",9386.75,"Standard",2012,6,0,0
313681,"Canada","British Columbia","Vancouver","V6E 3D9","Male","Bachelor",86981,"Married","Aurora",9388.16,"Standard",2016,12,0,0
118514,"Canada","Ontario","Toronto","P1L 8X8","Female","Bachelor",61008,"Married","Aurora",9393.97,"Standard",2018,10,0,0
624065,"Canada","Ontario","Toronto","P1L 8X8","Female","Bachelor",73185,"Married","Aurora",9403.88,"Standard",2016,6,0,0
589765,"Canada","Ontario","Toronto","P1L 8X8","Female","Bachelor",104488,"Single","Aurora",9406.38,"Standard",2013,4,0,0
812149,"Canada","British Columbia","Vancouver","V6E 3D9","Male","Bachelor",54946,"Married","Aurora",9407.45,"Standard",2012,5,0,0
509149,"Canada","Ontario","Kingston","M9K 2P4","Female","Bachelor",72400,"Married","Aurora",9415.53,"Standard",2014,10,11,11
579438,"Canada","Quebec","Montreal","H2Y 4R4","Male","Doctor",90083,"Married","Aurora",9416.28,"Standard",2018,5,0,0
955479,"Canada","Ontario","Toronto","M2M 6J7","Male","Bachelor",83570,"Married","Aurora",9416.91,"Standard",2012,12,0,0
159856,"Canada","Quebec","Montreal","H2Y 4R4","Female","Bachelor",96184,"Married","Aurora",9419.88,"Standard",2016,5,0,0
113476,"Canada","Newfoundland","St. John's","A1C 6H9","Female","Bachelor",66334,"Married","Aurora",9420.97,"Standard",2013,5,0,0
707754,"Canada","British Columbia","Vancouver","V6E 3Z3","Female","Doctor",212281,"Divorced","Aurora",9421.1,"Standard",2016,10,0,0
626510,"Canada","Ontario","Toronto","M2M 6J7","Male","Bachelor",66498,"Married","Aurora",9422.57,"Standard",2015,8,4,4
918042,"Canada","British Columbia","West Vancouver","V6V 8Z3","Female","High School or Below",73530,"Divorced","Aurora",9426.97,"Standard",2013,1,0,0
972994,"Canada","Quebec","Montreal","H2T 2J6","Male","High School or Below",73530,"Divorced","Aurora",9426.97,"Standard",2012,11,0,0
261468,"Canada","British Columbia","Vancouver","V1E 4R6","Female","Bachelor",63965,"Married","Aurora",9429.63,"Standard",2013,4,0,0
240761,"Canada","Ontario","Toronto","M2P 4F6","Male","Bachelor",95530,"Married","Aurora",9438.92,"Standard",2013,7,0,0
689477,"Canada","British Columbia","Vancouver","V1E 4R6","Female","Bachelor",100140,"Married","Aurora",9445.65,"Standard",2013,2,0,0
939320,"Canada","British Columbia","Vancouver","V6E 3Z3","Female","Doctor",271085,"Divorced","Nova",7296.54,"2018 Promotion",2018,3,11,11
773986,"Canada","Alberta","Edmonton","T9G 1W3","Male","Bachelor",82876,"Married","Aurora",9463.11,"Standard",2017,2,0,0
268293,"Canada","Ontario","Thunder Bay","K8T 5M5","Female","Bachelor",65955,"Married","Aurora",9470.06,"Standard",2016,12,0,0
492159,"Canada","Ontario","Sudbury","M5V 1G5","Male","High School or Below",71527,"Divorced","Aurora",9486.04,"Standard",2013,9,0,0
565876,"Canada","Ontario","Toronto","M2Z 4K1","Male","Bachelor",62816,"Married","Aurora",9486.6,"Standard",2016,3,0,0
704150,"Canada","Manitoba","Winnipeg","R6Y 4T5","Male","Bachelor",77601,"Married","Star",3921.02,"Standard",2014,10,0,0
869743,"Canada","Ontario","Sudbury","M5V 1G5","Female","Bachelor",73236,"Single","Star",3924.42,"Standard",2016,11,7,7
596179,"Canada","New Brunswick","Fredericton","E3B 2H2","Female","Bachelor",50879,"Single","Star",3933.81,"Standard",2014,3,0,0
370450,"Canada","Ontario","Thunder Bay","K8T 5M5","Female","High School or Below",62160,"Married","Star",3934.1,"Standard",2012,11,0,0
501030,"Canada","British Columbia","Vancouver","V6E 3Z3","Male","Bachelor",93541,"Married","Star",3934.71,"Standard",2017,3,0,0
878633,"Canada","Ontario","Trenton","K8V 4B2","Female","Doctor",163974,"Married","Star",3936.79,"Standard",2013,12,0,0
285938,"Canada","Quebec","Montreal","H2T 2J6","Female","Bachelor",75827,"Married","Star",3939.01,"Standard",2014,9,0,0
588237,"Canada","Quebec","Tremblant","H5Y 2S9","Male","Bachelor",75827,"Married","Star",3939.01,"Standard",2013,11,0,0
645280,"Canada","British Columbia","West Vancouver","V6V 8Z3","Male","Bachelor",75827,"Married","Star",3939.01,"Standard",2012,12,0,0
864324,"Canada","Quebec","Quebec City","G1B 3L5","Female","Bachelor",75827,"Married","Star",3939.01,"Standard",2018,6,0,0
124678,"Canada","Nova Scotia","Halifax","B3J 9S2","Male","Doctor",152955,"Married","Star",3954.34,"Standard",2013,6,0,0
186015,"Canada","British Columbia","Vancouver","V6E 3Z3","Male","Doctor",152955,"Married","Star",3954.34,"Standard",2015,9,0,0
461108,"Canada","Quebec","Montreal","H2T 9K8","Male","Doctor",152955,"Married","Star",3954.34,"Standard",2018,10,0,0
589580,"Canada","British Columbia","Whistler","V6T 1Y8","Male","Doctor",152955,"Married","Star",3954.34,"Standard",2015,8,0,0
263339,"Canada","Ontario","Trenton","K8V 4B2","Female","Bachelor",102357,"Married","Aurora",9500.08,"Standard",2016,6,0,0
123420,"Canada","British Columbia","Vancouver","V1E 4R6","Female","Bachelor",70946,"Married","Aurora",9540.92,"Standard",2015,4,0,0
155623,"Canada","Ontario","Toronto","M8Y 4K8","Male","Bachelor",70946,"Married","Aurora",9540.92,"Standard",2014,8,4,4
179042,"Canada","Quebec","Montreal","H4G 3T4","Male","High School or Below",50426,"Married","Aurora",9546.82,"Standard",2017,2,0,0
883002,"Canada","Quebec","Montreal","H4G 3T4","Female","Bachelor",73628,"Married","Aurora",9551.17,"Standard",2013,1,0,0
693852,"Canada","British Columbia","West Vancouver","V6V 8Z3","Male","Bachelor",61668,"Divorced","Aurora",9559.34,"Standard",2014,3,0,0
618817,"Canada","Ontario","Toronto","P1J 8T7","Male","Bachelor",91479,"Divorced","Aurora",9567.71,"Standard",2015,9,0,0
243455,"Canada","Alberta","Edmonton","T9G 1W3","Male","Bachelor",60252,"Divorced","Aurora",9597.47,"Standard",2017,4,0,0
514235,"Canada","Manitoba","Winnipeg","R2C 0M5","Female","Bachelor",57077,"Married","Aurora",9613.61,"Standard",2017,8,0,0
858453,"Canada","Alberta","Banff","T4V 1D4","Male","Bachelor",90839,"Married","Aurora",9618.31,"Standard",2012,12,0,0
257393,"Canada","Ontario","Toronto","M2M 6J7","Female","Bachelor",50660,"Single","Aurora",9624.52,"Standard",2013,12,2,2
972795,"Canada","Alberta","Edmonton","T3G 6Y6","Male","Bachelor",50660,"Single","Aurora",9624.52,"Standard",2016,12,0,0
831797,"Canada","British Columbia","Vancouver","V6E 3D9","Female","Bachelor",55613,"Married","Nova",7519.03,"2018 Promotion",2018,3,0,0
547522,"Canada","British Columbia","Vancouver","V6E 3D9","Male","Bachelor",98009,"Divorced","Aurora",9635.58,"Standard",2016,1,0,0
980494,"Canada","British Columbia","Vancouver","V5R 1W3","Female","Bachelor",57686,"Married","Aurora",9638.07,"Standard",2018,7,0,0
699397,"Canada","New Brunswick","Fredericton","E3B 2H2","Male","Bachelor",54174,"Married","Aurora",9640.53,"Standard",2012,5,0,0
561053,"Canada","Ontario","Trenton","K8V 4B2","Male","Bachelor",81499,"Single","Aurora",9654.52,"Standard",2015,12,0,0
898229,"Canada","British Columbia","Vancouver","V6E 3D9","Male","Bachelor",81499,"Single","Aurora",9654.52,"Standard",2013,9,0,0
517472,"Canada","British Columbia","Vancouver","V5R 1W3","Male","Bachelor",74651,"Single","Nova",7840.17,"2018 Promotion",2018,2,10,10
647726,"Canada","Ontario","Trenton","K8V 4B2","Female","Bachelor",85240,"Divorced","Aurora",9667.13,"Standard",2015,12,0,0
112026,"Canada","British Columbia","Whistler","V6T 1Y8","Male","Doctor",185468,"Divorced","Aurora",9670.18,"Standard",2014,1,0,0
853540,"Canada","Yukon","Whitehorse","Y2K 6R0","Female","High School or Below",69957,"Single","Aurora",9688.13,"Standard",2017,10,0,0
400513,"Canada","Quebec","Montreal","H4G 3T4","Male","Bachelor",46548,"Single","Aurora",9688.33,"Standard",2012,11,0,0
755014,"Canada","Manitoba","Winnipeg","R6Y 4T5","Male","Bachelor",46548,"Single","Aurora",9688.33,"Standard",2012,9,0,0
212707,"Canada","Ontario","Toronto","P1L 8X8","Male","Bachelor",95445,"Single","Aurora",9696.55,"Standard",2012,10,0,0
120192,"Canada","British Columbia","Vancouver","V6E 3D9","Female","Bachelor",65324,"Married","Aurora",9701.03,"Standard",2013,3,0,0
941882,"Canada","Ontario","Toronto","M1R 4K3","Female","High School or Below",54912,"Married","Aurora",9753.31,"Standard",2014,7,0,0
872814,"Canada","Alberta","Peace River","T9O 2W2","Male","Bachelor",81396,"Married","Aurora",9756.04,"Standard",2012,12,0,0
623688,"Canada","Ontario","London","M5B 3E4","Female","Doctor",152955,"Married","Star",3954.34,"Standard",2016,5,0,0
386082,"Canada","Alberta","Edmonton","T9G 1W3","Female","Bachelor",30486,"Divorced","Aurora",5391.97,"2018 Promotion",2018,3,11,11
140392,"Canada","British Columbia","Vancouver","V5R 1W3","Female","Bachelor",96814,"Married","Star",3963.39,"Standard",2013,7,0,0
112522,"Canada","Alberta","Peace River","T9O 2W2","Male","Bachelor",49846,"Married","Aurora",5636.74,"2018 Promotion",2018,2,0,0
230908,"Canada","British Columbia","Vancouver","V6E 3Z3","Male","Doctor",217538,"Divorced","Star",3964.15,"Standard",2012,5,0,0
972581,"Canada","British Columbia","Vancouver","V5R 1W3","Male","High School or Below",48744,"Married","Star",3964.53,"Standard",2016,2,0,0
357549,"Canada","British Columbia","Whistler","V6T 1Y8","Female","Bachelor",76410,"Single","Star",3964.73,"Standard",2018,9,0,0
330694,"Canada","Alberta","Edmonton","T3G 6Y6","Female","Bachelor",105053,"Married","Aurora",6172.91,"2018 Promotion",2018,2,0,0
910875,"Canada","Quebec","Hull","J8Y 3Z5","Female","Bachelor",84914,"Married","Star",3966.13,"Standard",2012,11,0,0
265297,"Canada","Manitoba","Winnipeg","R2C 0M5","Female","Bachelor",60519,"Married","Star",3978.67,"Standard",2018,7,0,0
567875,"Canada","Quebec","Quebec City","G1B 3L5","Female","Bachelor",102457,"Married","Star",3979.72,"Standard",2017,5,0,0
688524,"Canada","Manitoba","Winnipeg","R2C 0M5","Female","Bachelor",103862,"Married","Star",3980.42,"Standard",2013,3,0,0
